Method,Silhouette,CH Index,DB Index,ARI,NMI,Purity
VAE,0.2541045546531677,324.39649177131554,1.1578715387476133,0.15224977640246495,0.29411334746049517,0.3713713713713714
Beta-VAE (β=1.0),0.23779642581939697,290.1148058190237,1.1971016344744387,0.1488959279186751,0.27716217572682617,0.35835835835835833
Beta-VAE (β=2.0),0.3162851929664612,574.9617071168,0.9539527518759415,0.12828783063012006,0.26510565735746405,0.35035035035035034
Beta-VAE (β=4.0),0.3552701771259308,1564.727968515013,0.8601640124388098,0.13398032732976103,0.2300611250354588,0.33433433433433435
Conv VAE,0.23019158840179443,290.56456703019813,1.2327682940000666,0.15718440757680602,0.2921336201951252,0.3683683683683684
Multi-Modal VAE,0.17039284110069275,173.22912777552244,1.4982368845941054,0.11099063004569869,0.21775969092550349,0.3183183183183183
Standard AE,0.11143568158149719,101.48908783367189,1.9765848146181457,0.15339166969657275,0.281398159442774,0.37237237237237236
